OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
2,ACL Metais Eireli (Brasil),,Proveedor (tungsteno),PHILIP MORRIS INTERNATIONAL INC.,ACL Metais Eireli (Brasil),,,1,relevancia
3,Aluprint Tabaco S. de R.L. de C.V.,,Proveedor (empaques),PHILIP MORRIS INTERNATIONAL INC.,Aluprint Tabaco S. de R.L. de C.V.,,,1,relevancia
4,Amundi Asset Management SAS,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Amundi Asset Management SAS,,,6,relevancia
5,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),,Proveedor (oro),PHILIP MORRIS INTERNATIONAL INC.,AngloGold Ashanti Corrego do Sitio Mineracao (Brasil),,,6,relevancia
6,BlackRock Inc.,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,BlackRock Inc.,,,6,relevancia
7,BNY Asset Management,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,BNY Asset Management,,,6,relevancia
8,Brookfield Corporation,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Brookfield Corporation,,,2,relevancia
9,Capital Research & Management Co.,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Capital Research & Management Co.,,,1,relevancia
10,CA Tabacalera Nacional,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,CA Tabacalera Nacional,,,1,relevancia
11,Compania Colombiana de Tabaco S.A.S.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Compania Colombiana de Tabaco S.A.S.,,,1,relevancia
12,Credit Suisse Asset Management Inc.,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Credit Suisse Asset Management Inc.,,,5,relevancia
13,Deutsche Asset & Wealth Management,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Deutsche Asset & Wealth Management,,,4,relevancia
14,Dimensional Fund Advisors LP,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Dimensional Fund Advisors LP,,,6,relevancia
15,Em Vinto (Bolivia),,Proveedor (estaño),PHILIP MORRIS INTERNATIONAL INC.,Em Vinto (Bolivia),,,1,relevancia
16,Fundsmith LLP,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Fundsmith LLP,,,1,relevancia
17,Geode Capital Management Group LLC,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Geode Capital Management Group LLC,,,1,relevancia
18,Geode Capital Management LLC,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Geode Capital Management LLC,,,6,relevancia
19,Goldman Sachs Asset Management LP,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Goldman Sachs Asset Management LP,,,5,relevancia
20,Industrias Del Tabaco Alimentos y Bebidas S.A.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Industrias Del Tabaco Alimentos y Bebidas S.A.,,,1,relevancia
21,JP Morgan Asset Management,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,JP Morgan Asset Management,,,5,relevancia
22,Kemet Blue Metals (México),,Proveedor (tantalio),PHILIP MORRIS INTERNATIONAL INC.,Kemet Blue Metals (México),,,6,relevancia
23,LSM Brasil S.A. (Brasil),,Proveedor (tantalio),PHILIP MORRIS INTERNATIONAL INC.,LSM Brasil S.A. (Brasil),,,6,relevancia
24,"Magnu's Minerais, Metais e Ligas Ltda. (Brasil)",,Proveedor (estaño),PHILIP MORRIS INTERNATIONAL INC.,"Magnu's Minerais, Metais e Ligas Ltda. (Brasil)",,,1,relevancia
25,Marsam Metals (Brasil),,Proveedor (oro),PHILIP MORRIS INTERNATIONAL INC.,Marsam Metals (Brasil),,,1,relevancia
26,Massalin Particulares S.R.L.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Massalin Particulares S.R.L.,,,1,relevancia
27,"Melt, Metais e Ligas S.A. (Brasil)",,Proveedor (estaño),PHILIP MORRIS INTERNATIONAL INC.,"Melt, Metais e Ligas S.A. (Brasil)",,,1,relevancia
28,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),,Proveedor (oro),PHILIP MORRIS INTERNATIONAL INC.,Metalúrgica Met-Mex Peñoles S.A. de C.V. (México),,,6,relevancia
29,Mineracao Taboca S.A. (Brasil),,"Proveedor (tantalio, estaño)",PHILIP MORRIS INTERNATIONAL INC.,Mineracao Taboca S.A. (Brasil),,,1,relevancia
30,Minsur S.A. (Perú),,Proveedor (estaño),PHILIP MORRIS INTERNATIONAL INC.,Minsur S.A. (Perú),,,1,relevancia
31,Morgan Stanley Investment Management Inc.,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Morgan Stanley Investment Management Inc.,,,3,relevancia
32,Norges Bank Investment Management,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Norges Bank Investment Management,,,6,relevancia
33,Northern Trust Global Investments,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Northern Trust Global Investments,,,5,relevancia
34,Operaciones Metalúrgicas S.A. (Bolivia),,Proveedor (estaño),PHILIP MORRIS INTERNATIONAL INC.,Operaciones Metalúrgicas S.A. (Bolivia),,,1,relevancia
35,Philip Morris Brasil Indústria e Comércio Ltda,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Philip Morris Brasil Indústria e Comércio Ltda,,,1,relevancia
36,Philip Morris Brasil S.A.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Philip Morris Brasil S.A.,,,1,relevancia
37,Philip Morris Chile Comercializadora limitada,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Philip Morris Chile Comercializadora limitada,,,1,relevancia
38,"Philip Morris Cigatam Productos y Servicios, S. de R.L. de C.V.",,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,"Philip Morris Cigatam Productos y Servicios, S. de R.L. de C.V.",,,2,relevancia
39,Philip Morris Colombia S.A.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Philip Morris Colombia S.A.,,,1,relevancia
41,Philip Morris Latin America Services S.R.L.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Philip Morris Latin America Services S.R.L.,,,1,relevancia
42,"Philip Morris Mexico, S.A. de C.V.",,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,"Philip Morris Mexico, S.A. de C.V.",,,2,relevancia
43,"Philip Morris Panama, Sociedad en Comandita por Acciones",,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,"Philip Morris Panama, Sociedad en Comandita por Acciones",,,1,relevancia
44,Philip Morris Peru S.A.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Philip Morris Peru S.A.,,,1,relevancia
45,Planta Recuperadora de Metales SPA (Chile),,Proveedor (oro),PHILIP MORRIS INTERNATIONAL INC.,Planta Recuperadora de Metales SPA (Chile),,,6,relevancia
46,Profigen do Brazil LDTA,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Profigen do Brazil LDTA,,,1,relevancia
47,Resind Industria e Comercio Ltda. (Brasil),,"Proveedor (tantalio, estaño)",PHILIP MORRIS INTERNATIONAL INC.,Resind Industria e Comercio Ltda. (Brasil),,,1,relevancia
48,Russell Investment Management LLC,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Russell Investment Management LLC,,,3,relevancia
49,Soft Metais Ltda. (Brasil),,Proveedor (estaño),PHILIP MORRIS INTERNATIONAL INC.,Soft Metais Ltda. (Brasil),,,1,relevancia
50,State Street Global Advisors Inc.,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,State Street Global Advisors Inc.,,,6,relevancia
51,Tabacalera Andina Sa Tanasa,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Tabacalera Andina Sa Tanasa,,,1,relevancia
52,Tabacalera Centroamericana S. A. (Guatemala),,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Tabacalera Centroamericana S. A. (Guatemala),,,1,relevancia
53,"Tabacalera Costarricense, S. A.",,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,"Tabacalera Costarricense, S. A.",,,1,relevancia
54,Tabamark S.A.,,Subsidiaria,PHILIP MORRIS INTERNATIONAL INC.,Tabamark S.A.,,,1,relevancia
55,Teachers Insurance & Annuity Association-College Retirement Equities Fund,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Teachers Insurance & Annuity Association-College Retirement Equities Fund,,,6,relevancia
56,Tower Research Capital LLC,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Tower Research Capital LLC,,,2,relevancia
57,T. Rowe Price Group Inc.,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,T. Rowe Price Group Inc.,,,4,relevancia
58,Umicore Brasil Ltda. (Brasil),,Proveedor (oro),PHILIP MORRIS INTERNATIONAL INC.,Umicore Brasil Ltda. (Brasil),,,6,relevancia
59,Van Eck Associates Corporation,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Van Eck Associates Corporation,,,3,relevancia
60,Vanguard Group Inc.,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Vanguard Group Inc.,,,6,relevancia
61,Wellington Management Group LLP,,Inversionista Institucional,PHILIP MORRIS INTERNATIONAL INC.,Wellington Management Group LLP,,,2,relevancia
62,White Solder Metalurgia e Mineracao Ltda. (Brasil),,Proveedor (estaño),PHILIP MORRIS INTERNATIONAL INC.,White Solder Metalurgia e Mineracao Ltda. (Brasil),,,1,relevancia
